;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
19.941;98.19;99.53;90.44;95.77;94.0;99.47;100.0;99.74;99.51;100.0;100.0;99.13;100.0;99.13;180304_195626;99.57;98.69;100.0;100.0;97.79;99.61;94.13
19.957;98.79;99.53;91.18;96.83;94.36;99.47;100.0;99.74;99.51;100.0;100.0;99.56;100.0;99.13;180304_195727;99.57;99.02;100.0;100.0;98.09;99.61;94.99
19.974;99.09;99.53;91.18;97.09;94.55;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.13;180304_195827;99.57;100.0;100.0;100.0;98.3;99.61;95.65
19.991;99.09;99.53;91.91;97.09;95.27;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.3;180304_195927;99.57;100.0;100.0;100.0;98.77;100.0;97.63
20.008;99.09;99.53;92.65;97.09;95.64;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.3;180304_200027;100.0;100.0;100.0;100.0;98.86;100.0;97.82
20.024;99.4;99.53;94.12;97.35;96.0;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.48;180304_200127;100.0;100.0;100.0;100.0;98.96;100.0;97.89
20.041;99.4;99.53;95.59;97.35;96.18;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.48;180304_200227;100.0;100.0;100.0;100.0;98.99;100.0;97.89
20.058;99.7;99.53;96.32;97.35;96.18;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.48;180304_200327;100.0;100.0;100.0;100.0;99.03;100.0;97.96
20.074;99.7;99.53;97.06;97.35;96.18;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.48;180304_200427;100.0;100.0;100.0;100.0;99.07;100.0;98.09
20.091;99.7;99.53;97.79;97.62;96.18;99.47;100.0;99.74;99.51;100.0;100.0;100.0;100.0;99.48;180304_200528;100.0;100.0;100.0;100.0;99.13;100.0;98.28
20.217;100.0;99.53;99.26;98.68;98.55;99.73;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_201301;100.0;100.0;100.0;100.0;99.59;100.0;98.88
20.841;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_205027;100.0;100.0;100.0;100.0;100.0;100.0;100.0
22.995;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_225942;100.0;100.0;100.0;100.0;100.0;100.0;100.0
23.012;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_230043;100.0;100.0;100.0;100.0;100.0;100.0;100.0
23.029;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_230143;100.0;100.0;100.0;100.0;100.0;100.0;100.0
23.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_230243;0.0;0.66;0.0;0.0;0.03;0.0;0.0
