returned,month,county,year,date,day,sent
13712,11,eau claire,2016,2016/11/15,15,13884
304,11,florence,2016,2016/11/15,15,320
10097,11,fond du lac,2016,2016/11/15,15,10339
522,11,forest,2016,2016/11/15,15,538
3518,11,grant,2016,2016/11/15,15,3608
544,11,iron,2016,2016/11/7,7,590
647,11,jackson,2016,2016/11/7,7,710
9452,11,jefferson,2016,2016/11/7,7,9868
1363,11,juneau,2016,2016/11/7,7,1496
27624,11,kenosha,2016,2016/11/7,7,28359
1207,11,kewaunee,2016,2016/11/7,7,1289
21405,11,la crosse,2016,2016/11/7,7,21878
586,11,lafayette,2016,2016/11/7,7,624
1022,11,langlade,2016,2016/11/7,7,1142
27945,11,kenosha,2016,2016/11/8,8,28382
1392,11,kewaunee,2016,2016/11/8,8,1453
21717,11,la crosse,2016,2016/11/8,8,22039
615,11,lafayette,2016,2016/11/8,8,637
1101,11,langlade,2016,2016/11/8,8,1170
1668,11,lincoln,2016,2016/11/8,8,1771
3948,11,pierce,2016,2016/11/9,9,4076
2253,11,polk,2016,2016/11/9,9,2318
12310,11,portage,2016,2016/11/9,9,12438
876,11,price,2016,2016/11/9,9,910
33235,11,racine,2016,2016/11/9,9,33826
779,11,richland,2016,2016/11/9,9,812
18992,11,rock,2016,2016/11/9,9,19310
503,11,rusk,2016,2016/11/9,9,586
72,9,waupaca,2018,2018/9/26,26,583
22,9,waushara,2018,2018/9/26,26,221
103,9,winnebago,2018,2018/9/26,26,2487
87,9,wood,2018,2018/9/26,26,949
3144,11,green,2016,2016/11/15,15,3195
1138,11,green lake,2016,2016/11/15,15,1174
2483,11,iowa,2016,2016/11/15,15,2515
568,11,iron,2016,2016/11/15,15,595
757,11,jackson,2016,2016/11/15,15,786
1600,11,lincoln,2016,2016/11/7,7,1753
8075,11,manitowoc,2016,2016/11/7,7,8359
16130,11,marathon,2016,2016/11/7,7,16791
3515,11,marinette,2016,2016/11/7,7,3657
768,11,marquette,2016,2016/11/7,7,824
150,11,menominee,2016,2016/11/7,7,153
128492,11,milwaukee,2016,2016/11/7,7,132501
2969,11,monroe,2016,2016/11/7,7,3138
2556,11,oconto,2016,2016/11/7,7,2763
8237,11,manitowoc,2016,2016/11/8,8,8422
16655,11,marathon,2016,2016/11/8,8,17141
3587,11,marinette,2016,2016/11/8,8,3686
871,11,marquette,2016,2016/11/8,8,907
